Model,Metric,Mean,Std,CI_Lower,CI_Upper,CI_String
B1_ESM_InfoNCE_TempScale,AUC,0.6327943035780489,0.012203444853760258,0.6189848057221847,0.646603801433913,0.6328 ± 0.0138
B1_ESM_InfoNCE_TempScale,AUPRC,0.28320436154914047,0.006284703354377262,0.27609255020922424,0.2903161728890567,0.2832 ± 0.0071
B1_ESM_InfoNCE_TempScale,ACCURACY,0.7767328985287426,0.0,0.7767328985287426,0.7767328985287426,0.7767 ± 0.0000
B1_ESM_InfoNCE_TempScale,PRECISION,0.0,0.0,0.0,0.0,0.0000 ± 0.0000
B1_ESM_InfoNCE_TempScale,RECALL,0.0,0.0,0.0,0.0,0.0000 ± 0.0000
B2_Simple_Features_LR,AUC,0.5085594376947438,0.0,0.5085594376947438,0.5085594376947438,0.5086 ± 0.0000
B2_Simple_Features_LR,AUPRC,0.21079948924247083,0.0,0.21079948924247083,0.21079948924247083,0.2108 ± 0.0000
B2_Simple_Features_LR,ACCURACY,0.7767328985287426,0.0,0.7767328985287426,0.7767328985287426,0.7767 ± 0.0000
B2_Simple_Features_LR,PRECISION,0.0,0.0,0.0,0.0,0.0000 ± 0.0000
B2_Simple_Features_LR,RECALL,0.0,0.0,0.0,0.0,0.0000 ± 0.0000
B3_Simple_Features_RF,AUC,0.5373038368228013,0.0,0.5373038368228013,0.5373038368228013,0.5373 ± 0.0000
B3_Simple_Features_RF,AUPRC,0.2555987440666482,0.0,0.2555987440666482,0.2555987440666482,0.2556 ± 0.0000
B3_Simple_Features_RF,ACCURACY,0.7767328985287426,0.0,0.7767328985287426,0.7767328985287426,0.7767 ± 0.0000
B3_Simple_Features_RF,PRECISION,0.5,0.0,0.5,0.5,0.5000 ± 0.0000
B3_Simple_Features_RF,RECALL,0.0006793478260869565,0.0,0.0006793478260869565,0.0006793478260869565,0.0007 ± 0.0000
B4_Simple_Features_SVM,AUC,0.5828809654194578,0.0,0.5828809654194578,0.5828809654194578,0.5829 ± 0.0000
B4_Simple_Features_SVM,AUPRC,0.26845408933235104,0.0,0.26845408933235104,0.26845408933235104,0.2685 ± 0.0000
B4_Simple_Features_SVM,ACCURACY,0.7767328985287426,0.0,0.7767328985287426,0.7767328985287426,0.7767 ± 0.0000
B4_Simple_Features_SVM,PRECISION,0.0,0.0,0.0,0.0,0.0000 ± 0.0000
B4_Simple_Features_SVM,RECALL,0.0,0.0,0.0,0.0,0.0000 ± 0.0000
BX1_ProtBert_Like,AUC,0.4028347549094522,0.0,0.4028347549094522,0.4028347549094522,0.4028 ± 0.0000
BX1_ProtBert_Like,AUPRC,0.17669860092160952,0.0,0.17669860092160952,0.17669860092160952,0.1767 ± 0.0000
BX1_ProtBert_Like,ACCURACY,0.7767328985287426,0.0,0.7767328985287426,0.7767328985287426,0.7767 ± 0.0000
BX1_ProtBert_Like,PRECISION,0.0,0.0,0.0,0.0,0.0000 ± 0.0000
BX1_ProtBert_Like,RECALL,0.0,0.0,0.0,0.0,0.0000 ± 0.0000
BX2_Simple_Graph,AUC,0.4628195362446193,5.551115123125783e-17,0.46281953624461925,0.46281953624461936,0.4628 ± 0.0000
BX2_Simple_Graph,AUPRC,0.19545586185541353,0.0,0.19545586185541353,0.19545586185541353,0.1955 ± 0.0000
BX2_Simple_Graph,ACCURACY,0.7702108296678295,0.0,0.7702108296678295,0.7702108296678295,0.7702 ± 0.0000
BX2_Simple_Graph,PRECISION,0.24705882352941178,0.0,0.24705882352941178,0.24705882352941178,0.2471 ± 0.0000
BX2_Simple_Graph,RECALL,0.014266304347826086,0.0,0.014266304347826086,0.014266304347826086,0.0143 ± 0.0000
BX3_VAE_Like,AUC,0.5592850703199952,0.0,0.5592850703199952,0.5592850703199952,0.5593 ± 0.0000
BX3_VAE_Like,AUPRC,0.27037859806683473,0.0,0.27037859806683473,0.27037859806683473,0.2704 ± 0.0000
BX3_VAE_Like,ACCURACY,0.7767328985287426,0.0,0.7767328985287426,0.7767328985287426,0.7767 ± 0.0000
BX3_VAE_Like,PRECISION,0.0,0.0,0.0,0.0,0.0000 ± 0.0000
BX3_VAE_Like,RECALL,0.0,0.0,0.0,0.0,0.0000 ± 0.0000
